NAME,Total Population 2020,Total_Election_pop,Democratic,Republican,Other,Democratic (%),Republican (%),Other (%),Tot_2016_pres,D_2016_pres,R_2016_pres,Other_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Other_2016_sen,Tot_2016_ag,D_2016_ag,R_2016_ag,Other_2016_ag,Tot_2018_sen,D_2018_sen,R_2018_sen,Other_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Other_2018_gov,Tot_2020_ag,D_2020_ag,R_2020_ag,Other_2020_ag,Tot_2020_pres,D_2020_pres,R_2020_pres,Other_2020_pres
UPPER SAUCON DISTRICT 04,6154,2651,1188,1412,51,44.8,53.3,1.9,2571,1090,1387,94,2573,944,1545,84,2498,1021,1477,0,2245,1113,1100,32,2252,1167,1056,29,3188,1442,1660,86,3229,1539,1661,29
LOWER MACUNGIE DISTRICT 02,5762,3234,1573,1596,65,48.6,49.4,2,3287,1501,1648,138,3277,1311,1858,108,3201,1454,1747,0,2735,1449,1245,41,2736,1539,1145,52,3682,1828,1773,81,3715,1932,1754,29
WEISENBERG,5182,2806,951,1799,56,33.9,64.1,2,2824,823,1885,116,2804,787,1917,100,2720,883,1837,0,2407,936,1447,24,2406,1011,1367,28,3214,1092,2042,80,3264,1125,2097,42
LOWER MACUNGIE DISTRICT 06,4887,2271,1169,1049,53,51.5,46.2,2.3,2190,1062,1042,86,2209,999,1125,85,2161,1102,1059,0,1842,1050,756,36,1844,1098,704,42,2808,1407,1313,88,2842,1465,1343,34
RICHLAND DISTRICT 01,4491,2214,1001,1177,36,45.2,53.2,1.6,2084,864,1159,61,2064,836,1202,26,2049,894,1155,0,1926,946,937,43,1921,1000,890,31,2714,1221,1424,69,2740,1244,1471,25
UPPER MACUNGIE DISTRICT 05,4307,2523,1274,1203,46,50.5,47.7,1.8,2310,1078,1149,83,2310,998,1244,68,2266,1054,1212,0,2066,1111,928,27,2069,1175,866,28,3286,1709,1507,70,3349,1791,1512,46
WASHINGTON DISTRICT SOUTHERN,4185,2048,715,1285,48,34.9,62.7,2.3,2056,635,1353,68,2049,643,1293,113,2008,753,1255,0,1655,644,975,36,1661,706,923,32,2438,810,1564,64,2466,811,1635,20
UPPER MILFORD DISTRICT EASTERN,4120,2314,1038,1224,52,44.9,52.9,2.2,2228,891,1256,81,2215,819,1304,92,2135,936,1199,0,1949,963,944,42,1952,1019,903,30,2831,1304,1452,75,2883,1331,1512,40
MILFORD DISTRICT TRUMBAUERSVILLE,3982,1962,802,1115,45,40.9,56.8,2.3,1973,729,1156,88,1951,686,1230,35,1933,768,1165,0,1670,761,870,39,1671,804,835,32,2260,907,1272,81,2276,959,1280,37
LOWER MILFORD,3963,2208,823,1338,47,37.3,60.6,2.1,2223,764,1366,93,2220,723,1408,89,2167,789,1378,0,1893,782,1089,22,1895,836,1035,24,2517,921,1527,69,2539,946,1563,30
NORTH WHITEHALL DISTRICT 02,3949,1834,715,1078,41,39,58.8,2.2,1895,661,1174,60,1875,603,1188,84,1830,692,1138,0,1471,634,804,33,1474,696,751,27,2117,853,1210,54,2170,865,1281,24
